name,ditensity,lon,lat
ชุมชนตรอกสะพานยาว,หนาแน่นมาก,100.481366,13.699404
ชุมชนโกวบ๊อพัฒนา,หนาแน่นมาก,100.483551,13.704844
ชุมชนวัดบางน้ำชน,หนาแน่นปานกลาง,100.49131,13.703434
ชุมชนเกื้อวิทยา,หนาแน่นมาก,100.490543,13.708034
ชุมชนวัดราชวรินทร์,แออัด,100.492532,13.710769
ชุมชนสุทธาราม,แออัด,100.492191,13.713614
ชุมชนสนามแดง,แออัด,100.482507,13.71301
ชุมชนสองร้อยห้อง,หนาแน่นมาก,100.482406,13.715932
ชุมชนวัดบางสะแกใน,หนาแน่นปานกลาง,100.474646,13.711031
ชุมชนวัดใหม่ยายนุ้ย,หนาแน่นปานกลาง,100.46923,13.711415
ชุมชนสามัคคีธรรม,แออัด,100.472963,13.719124
ชุมชนวัดกันตทาราราม,แออัด,100.478029,13.720106
ชุมชนหลังศูนย์จันฉิมไพบูลย์,แออัด,100.481581,13.720943
ชุมชนโรงเจ 2,หนาแน่นมาก,100.481607,13.7188
ชุมชนสายสัมพันธ์,หนาแน่นมาก,100.48739,13.716642
ชุมชนวัดกัลยาณ์,หนาแน่นมาก,100.490257,13.739394
ชุมชนกุฎีขาว,หนาแน่นมาก,100.488862,13.738047
ชุมชนวัดบุปผาราม,แออัด,100.491452,13.735782
ชุมชนวัดประยูรวงศ์,หนาแน่นมาก,100.495926,13.737408
ชุมชนกุฎีจีน,หนาแน่นมาก,100.493637,13.739043
ชุมชนโรงคราม,แออัด,100.488141,13.736431
ชุมชนศรีภูมิ,หนาแน่นมาก,100.4863,13.728672
ชุมชนวัดใหญ่ศรีสุพรรณ,แออัด,100.488166,13.729554
ชุมชนสามัคคีศรีสุพรรณ,แออัด,100.489118,13.730441
ชุมชนมัสยิดบ้านสมเด็จ,แออัด,100.492029,13.730687
ชุมชนบางไส้ไก่บ้านสมเด็จ,แออัด,100.490041,13.731923
ชุมชนวัดประดิษฐาราม,หนาแน่นมาก,100.487655,13.734318
ชุมชนสี่แยกบ้านแขก,หนาแน่นมาก,100.493685,13.730578
ชุมชนประสานมิตร,แออัด,100.488973,13.728854
ชุมชนข้างสถานีรถไฟวงเวียนใหญ่,หนาแน่นมาก,100.486817,13.724751
ชุมชนวัดอินทาราม,หนาแน่นมาก,100.483559,13.723035
