name,ditensity,lat,lon,,
ชุมชนหน้าวัดบุญรอดธรรมราม,หนาแน่นปานกลาง,100.593547,13.694148,,
ชุมชนหน้าโรงเรียนบางจาก,หนาแน่นปานกลาง,100.596642,13.695749,,
ชุมชนสุภาพงษ์,หนาแน่นมาก,100.635604,13.68974,,
ชุมชนฤกษ์เที่ยง,หนาแน่นปานกลาง,100.610885,13.701686,,
ชุมชนสุขุมวิท 93,หนาแน่นปานกลาง,100.610085,13.700371,,
ชุมชนสาหร่ายทองคำ,หนาแน่นมาก,100.612882,13.701217,,
ชุมชนซอยเปี่ยมสุข,หนาแน่นปานกลาง,100.611717,13.700953,,
ชุมชนพงษ์เวชอนุสรณ์,หนาแน่นปานกลาง,100.606668,13.690522,,
ชุมชนข้างโรงกลั่นน้ำมันบางจาก,หนาแน่นปานกลาง,100.595894,13.691559,,
ชุมชนเล็กเที่ยง,หนาแน่นปานกลาง,100.598859,13.700481,,
ชุมชนซอยประดับสุข,หนาแน่นปานกลาง,100.610367,13.692329,,
ชุมชนสองพี่น้อง,หนาแน่นปานกลาง,100.616684,13.69376,,
ชุมชนร่วมสามัคคี,หนาแน่นปานกลาง,100.630323,13.68662,,
ชุมชนเชลียง 5,หนาแน่นปานกลาง,100.632778,13.681397,,
ชุมชนเซ่งไพเราะ,หนาแน่นมาก,100.63541,13.690878,,
ชุมชนหมู่บ้านซอยสวัสดี,หนาแน่นมาก,100.632077,13.691128,,
ชุมชนสาหร่ายไพเราะ,หนาแน่นปานกลาง,100.630551,13.6932,,
ชุมชนเกตุไพเราะ 1-2,หนาแน่นปานกลาง,100.62996,13.69396,,
ชุมชนเกตุไพเราะ 3-5,หนาแน่นปานกลาง,100.629501,13.694981,,
ชุมชนสุนทรธรรม,หนาแน่นปานกลาง,100.628779,13.696282,,
ชุมชนแย้มสรวล,หนาแน่นปานกลาง,100.626358,13.684036,,
ชุมชนทุ่งสาธิต,หนาแน่นปานกลาง,100.636359,13.692252,,
ชุมชนเยี่ยมเจริญสุข,หนาแน่นปานกลาง,100.61775,13.702976,,
ชุมชนบุญกุศล,หนาแน่นปานกลาง,100.617853,13.686051,,
ชุมชนประวิทย์สามัคคี,หนาแน่นมาก,100.634251,13.683375,,
ชุมชนท่าวัง,หนาแน่นปานกลาง,100.489268,13.753056,,
ชุมชนท่าเตียน,หนาแน่นปานกลาง,100.490732,13.745581,,
ชุมชนตรอกเขียนนิวาสน์-ตรอกไก่แจ้,หนาแน่นปานกลาง,100.496032,13.763373,,
ชุมชนวัดสังเวชวิศยาราม,หนาแน่นปานกลาง,100.49665,13.765144,,
ชุมชนวัดสามพระยา,หนาแน่นปานกลาง,100.499881,13.764961,,
ชุมชนวัดนรนาถ,หนาแน่นปานกลาง,100.502514,13.769852,,
ชุมชนวัดอินทรวิหาร,หนาแน่นปานกลาง,100.503594,13.767225,,
ชุมชนตรอกบ้านพานถม,หนาแน่นปานกลาง,100.504187,13.761454,,
ชุมชนมัสยิดบ้านตึกดิน,หนาแน่นปานกลาง,100.500366,13.758108,,
ชุมชนหลังวัดราชนัดดา,หนาแน่นมาก,100.504559,13.754414,,
ชุมชนวัดเทพธิดาราม,หนาแน่นมาก,100.502945,13.753563,,
ชุมชนโบสถ์พราหมณ์,หนาแน่นมาก,100.500294,13.752482,,
ชุมชนราชบพิธพัฒนา,หนาแน่นมาก,100.499161,13.749821,,
ชุมชนตรอกเฟื่องทอง-ตรอกวิสูตร,หนาแน่นมาก,100.499567,13.748385,,
ชุมชนมัสยิดจักรพงษ์,หนาแน่นปานกลาง,100.49709,13.761267,,
ชุมชนบวรรังษี,หนาแน่นปานกลาง,100.500777,13.758762,,
ชุมชนตรอกศิลป์-ตรอกตึกดิน,หนาแน่นมาก,100.501053,13.754832,,
ชุมชนแพร่งภูธร,หนาแน่นมาก,100.496913,13.751731,,
ชุมชนวัดโสมนัส,หนาแน่นมาก,100.509818,13.761908,,
ชุมชนจักรพรรดิพงษ์,หนาแน่นมาก,100.509353,13.75717,,
ชุมชนวัดสุนทรธรรมทาน,หนาแน่นมาก,100.510211,13.757752,,
ชุมชนศุภมิตร 2,หนาแน่นมาก,100.511743,13.758943,,
ชุมชนศุภมิตร 1,หนาแน่นมาก,100.512863,13.758813,,
ชุมชนสิตาราม,หนาแน่นมาก,100.51064,13.755709,,
ชุมชนมัสยิดมหานาค,หนาแน่นมาก,100.515871,13.752959,,
ชุมชนวัดสระเกศ,แออัด,100.508533,13.752509,,
ชุมชนบ้านบาตร,หนาแน่นมาก,100.506848,13.750943,,
ชุมชนบ้านดอกไม้,หนาแน่นปานกลาง,100.506895,13.74847,,
ชุมชนวังแดง,หนาแน่นปานกลาง,100.504817,13.747747,,
ชุมชนตรอกมะขาม,หนาแน่นมาก,100.512401,13.741809,,
ชุมชนดำรงรักษ์,หนาแน่นมาก,100.511471,13.754851,,
ชุมชนวุฒิชัย,หนาแน่นมาก,100.514999,13.755865,,
ชุมชนภิรมย์,หนาแน่นปานกลาง,100.501029,13.740521,,
ชุมชนสะพานหัน,หนาแน่นปานกลาง,100.502217,13.74281,,
ชุมชนริมคลองโอ่งอ่าง,หนาแน่นปานกลาง,100.50267,13.743545,,
ชุมชนอิสรานุภาพ,หนาแน่นปานกลาง,100.507064,13.739964,,
ชุมชนมิตรชัยภูมิ,หนาแน่นปานกลาง,100.507703,13.739305,,
ชุมชนกรมภูธเรศร์,หนาแน่นปานกลาง,100.509678,13.742026,,
ชุมชนพิพากษา,หนาแน่นปานกลาง,100.51051,13.741064,,
ชุมชนผู้ค้าอะไหล่เก่า,หนาแน่นปานกลาง,100.512321,13.733529,,
ชุมชนวานิชสัมพันธ์,หนาแน่นปานกลาง,100.513793,13.730395,,
ชุมชนตลาดน้อย,หนาแน่นปานกลาง,100.511811,13.734578,,
ชุมชนจงสวัสดิ์,หนาแน่นมาก,100.514964,13.73363,,
ชุมชนโปลิศสภา,หนาแน่นมาก,100.515317,13.736416,,
ชุมชนพาดสาย,หนาแน่นมาก,100.509545,13.738747,,
ชุมชนตรอกโพธิ์,หนาแน่นปานกลาง,100.511203,13.738866,,
ชุมชนกุศลสามัคคี,หนาแน่นปานกลาง,100.507283,13.742572,,
ชุมชนโชฎึก,หนาแน่นมาก,100.515337,13.734419,,
ชุมชนซอยวัดม่วงแคและมัสยิดฮารูณ,หนาแน่นปานกลาง,100.515425,13.725354,,
ชุมชนซอยไวตี,หนาแน่นมาก,100.524615,13.72363,,
ชุมชนซอยพิพัฒน์ 2,หนาแน่นมาก,100.532274,13.725547,,
ชุมชนซอยสันติภาพ,หนาแน่นปานกลาง,100.52514,13.729493,,
ชุมชนตรอกขุนนาวา,หนาแน่นมาก,100.524802,13.733814,,
ชุมชนซอยจอมสมบูรณ์,หนาแน่นปานกลาง,100.524286,13.734115,,
ชุมชนซอยสองพระ,หนาแน่นปานกลาง,100.523484,13.73297,,
ชุมชนซอยพระนคเรศ,หนาแน่นปานกลาง,100.521975,13.735084,,
ชุมชนตรอกห้านาย,หนาแน่นมาก,100.517515,13.735674,,
ชุมชนศรีเวียง,แออัด,100.517637,13.719242,,
ชุมชนตลาดสดเพชรพลอย,หนาแน่นปานกลาง,100.519857,13.728114,,
ชุมชนซอยหลังวัดหัวลำโพง,หนาแน่นปานกลาง,100.529562,13.731082,,
ชุมชนซอยวัดมหาพฤฒาราม(ซอยแก้วฟ้า),หนาแน่นมาก,100.516821,13.734012,,
ชุมชนหลังวัดแก้วแจ่มฟ้า(สี่พระยา),หนาแน่นมาก,100.518856,13.731965,,
ชุมชนบ้านครัวใต้,หนาแน่นมาก,100.523707,13.74986,,
ชุมชนวัดบรมนิวาส,หนาแน่นปานกลาง,100.521071,13.751268,,
ชุมชนชาวชูชีพ,หนาแน่นปานกลาง,100.518361,13.748998,,
ชุมชนตรอกสลักหิน,หนาแน่นมาก,100.518109,13.74029,,
ชุมชนหลังวัดปทุมวนาราม,หนาแน่นปานกลาง,100.537384,13.749128,,
ชุมชนซอยพระเจน,หนาแน่นปานกลาง,100.546676,13.731048,,
ชุมชนพัฒนาบ่อนไก่,หนาแน่นมาก,100.550462,13.72462,,
ชุมชนเคหะชุมชนบ่อนไก่,หนาแน่นปานกลาง,100.552131,13.726191,,
ชุมชนซอยโปโล,หนาแน่นปานกลาง,100.549878,13.732941,,
ชุมชนซอยร่วมฤดี,หนาแน่นปานกลาง,100.549845,13.734229,,
ชุมชนอาเซี่ยน,หนาแน่นปานกลาง,100.53757,13.796652,,
ชุมชนอุทัยรัตน์,หนาแน่นมาก,100.544543,13.796143,,
ชุมชนถวัลย์ศักดิ์,หนาแน่นมาก,100.545545,13.795775,,
ชุมชนวัดไผ่ตัน,หนาแน่นมาก,100.547818,13.795865,,
ชุมชนอินทามระ 1 (ลับแล),หนาแน่นมาก,100.551303,13.795429,,
ชุมชนอินทามระ 29 แยก 1,หนาแน่นมาก,100.558642,13.794505,,
ชุมชนอินทามระ 29 แยก 4,หนาแน่นมาก,100.560467,13.794257,,
ชุมชนเป็นสุข,หนาแน่นมาก,100.556514,13.784344,,
ชุมชนวัดมะกอกกลางสวน,หนาแน่นปานกลาง,100.535315,13.770893,,
ชุมชนบุญชูศรี,หนาแน่นปานกลาง,100.54857,13.769674,,
ชุมชนสุขสวัสดิ์,หนาแน่นปานกลาง,100.535167,13.772047,,
ชุมชนวัดมะกอกส่วนหน้า,หนาแน่นมาก,100.534823,13.769764,,
ชุมชนท่าน้ำสามเสน,หนาแน่นปานกลาง,100.506138,13.783544,,
ชุมชนซอยสีคาม,หนาแน่นปานกลาง,100.509858,13.785142,,
ชุมชนหลังบ้านมนังคศิลา,หนาแน่นมาก,100.518698,13.75442,,
ชุมชนข้างวัดสุคันธาราม,หนาแน่นปานกลาง,100.522346,13.777572,,
ชุมชนซอยสันติสุข,หนาแน่นปานกลาง,100.521854,13.781627,,
ชุมชนวัดน้อยนพคุณ,หนาแน่นปานกลาง,100.522501,13.783065,,
ชุมชนซอยโซดา,หนาแน่นปานกลาง,100.513872,13.780118,,
ชุมชนซอยราชพัสดุ,หนาแน่นปานกลาง,100.514354,13.786817,,
ชุมชนพัฒนาซอยสินทรัพย์,หนาแน่นปานกลาง,100.528123,13.78942,,
ชุมชนพัฒนาซอยระนองกลาง,หนาแน่นปานกลาง,100.530365,13.790886,,
ชุมชนชาวบางกระบือ 14,หนาแน่นปานกลาง,100.515459,13.789702,,
ชุมชนถนนสุคันธาราม,หนาแน่นปานกลาง,100.523407,13.775801,,
ชุมชนวัดเทวราชกุญชร,หนาแน่นปานกลาง,100.501824,13.772519,,
ชุมชนวัดโบสถ์สามเสน,หนาแน่นปานกลาง,100.511056,13.782278,,
ชุมชนริมทางรถไฟสายแปดริ้ว,หนาแน่นปานกลาง,100.520133,13.75663,,
ชุมชนวัดญวน-คลองลำปัก,หนาแน่นปานกลาง,100.517257,13.757516,,
ชุมชนวัดประชาระบือธรรม 3,หนาแน่นปานกลาง,100.523308,13.792119,,
ชุมชนวัดประชาระบือธรรม 2,หนาแน่นปานกลาง,100.522802,13.792533,,
ชุมชนวัดประชาระบือธรรม 4,หนาแน่นปานกลาง,100.523377,13.792992,,
ชุมชนวัดประชาระบือธรรม 1,หนาแน่นปานกลาง,100.522778,13.793595,,
ชุมชนซอยเสริมสุข,หนาแน่นปานกลาง,100.522852,13.779579,,
ชุมชนชาววัดราชา,หนาแน่นปานกลาง,100.506043,13.774521,,
ชุมชนสุโขทัย ซอย 9(1),หนาแน่นปานกลาง,100.521281,13.773589,,
ชุมชนพระยาประสิทธิ์,หนาแน่นปานกลาง,100.514114,13.782399,,
ชุมชนซอยมิตรอนันต์,หนาแน่นปานกลาง,100.527374,13.778477,,
ชุมชนวัดสวัสดิวารีสีมาราม,หนาแน่นปานกลาง,100.516236,13.782013,,
ชุมชนองค์การทอผ้า,หนาแน่นปานกลาง,100.518536,13.797925,,
ชุมชนท่าวาสุกรี,หนาแน่นปานกลาง,100.502177,13.774712,,
ชุมชนสวนอ้อย,หนาแน่นปานกลาง,100.509882,13.779553,,
ชุมชนศรีย่าน ซอย 3,หนาแน่นปานกลาง,100.51371,13.785192,,
ชุมชนนครไชยศรี,หนาแน่นปานกลาง,100.515254,13.781809,,
ชุมชนราชผาทับทิมร่วมใจ,หนาแน่นปานกลาง,100.50384,13.779581,,
ชุมชนวัดสามง่าม,หนาแน่นปานกลาง,100.520454,13.749292,,
ชุมชนทับแก้ว,หนาแน่นปานกลาง,100.589564,13.744427,,
ชุมชนบึงบัว,หนาแน่นมาก,100.630148,13.688731,,
ชุมชนประดิพัทธ์ 10,หนาแน่นมาก,100.54108,13.78925,,
ชุมชนซอยประดิพัทธ์ 11,หนาแน่นมาก,100.541198,13.793087,,
ชุมชนโรงสี,หนาแน่นปานกลาง,100.547634,13.699092,,
ชุมชนริมคลองบางกอกใหญ่,หนาแน่นมาก,100.462216,13.74258,,
ชุมชนวัดเครือวัลย์,หนาแน่นปานกลาง,100.485574,13.746778,,
ชุมชนวัดนาคกลาง,หนาแน่นปานกลาง,100.483976,13.74606,,
ชุมชนลานมะขาม-บ้านหม้อ,หนาแน่นปานกลาง,100.484957,13.744393,,
ชุมชนปรกอรุณ,หนาแน่นมาก,100.487076,13.743549,,
ชุมชนข้างโรงเรียนพณิชยการราชดำเนิน-ธนบุรี,หนาแน่นมาก,100.484232,13.74187,,
ชุมชนวัดหงส์รัตนาราม,หนาแน่นมาก,100.487341,13.740501,,
ชุมชนวัดโมลีโลกยาราม,แออัด,100.489325,13.740662,,
ชุมชนซอยสมบุญพัฒนา,หนาแน่นมาก,100.472836,13.742977,,
ชุมชนวัดดีดวด,หนาแน่นมาก,100.474845,13.741373,,
ชุมชนตรอกตาแทน,หนาแน่นปานกลาง,100.482478,13.73873,,
ชุมชนวัดใหม่วิเชียร,หนาแน่นมาก,100.480869,13.736386,,
ชุมชนหลังวัดใหม่วิเชียร,หนาแน่นมาก,100.479943,13.735491,,
ชุมชนตรอกกระจก,หนาแน่นมาก,100.486172,13.734831,,
ชุมชนวัดสังข์กระจาย,หนาแน่นมาก,100.484994,13.733349,,
ชุมชนซอยจำเนียรสุข 3,หนาแน่นมาก,100.4838,13.72934,,
ชุมชนเพชรเกษม 1,หนาแน่นมาก,100.481625,13.727034,,
ชุมชนรวมพล,หนาแน่นปานกลาง,100.476973,13.72495,,
ชุมชนศาลเจ้าพ่อเขาตก,แออัด,100.472113,13.723491,,
ชุมชนวัดประดู่ฉิมพลี,หนาแน่นปานกลาง,100.468579,13.724689,,
ชุมชนหลังโรงกรองน้ำภาษีเจริญ,หนาแน่นปานกลาง,100.476174,13.733125,,
ชุมชนวัดท่าพระ,หนาแน่นปานกลาง,100.474587,13.734208,,
ชุมชนโค้งกระเทียม,หนาแน่นปานกลาง,100.476308,13.737556,,
ชุมชนหลังโรงเคลือบ,หนาแน่นมาก,100.470124,13.733958,,
ชุมชนข้างโรงเรียนเสสะเวช,หนาแน่นมาก,100.468437,13.736045,,
ชุมชนหลังโรงเรียนเสสะเวช,หนาแน่นมาก,100.468546,13.736494,,
ชุมชนปลายซอยศักดิ์เจริญ,หนาแน่นมาก,100.463527,13.733446,,
ชุมชนวัดใหม่พิเรนทร์,หนาแน่นมาก,100.481185,13.741543,,
ชุมชนสวนหลวง,หนาแน่นปานกลาง,100.483878,13.767794,,
ชุมชนสันติชนสงเคราะห์,หนาแน่นมาก,100.479655,13.763552,,
ชุมชนวัดสุวรรณาราม,หนาแน่นมาก,100.477865,13.761906,,
ชุมชนวัดไชยทิศ,หนาแน่นปานกลาง,100.463323,13.768083,,
ชุมชนวัดรวกสุทธาราม,หนาแน่นมาก,100.466141,13.757915,,
ชุมชนหลังตลาดนครหลวง,หนาแน่นมาก,100.467221,13.754263,,
ชุมชนปลายซอยจรัญสนิทวงศ์ 29 (ฝั่งขวา),หนาแน่นปานกลาง,100.4676,13.750511,,
ชุมชนซอยประชาร่วมใจ,หนาแน่นมาก,100.465967,13.746916,,
ชุมชนตรอกไผ่-วัดบางเสาธง,หนาแน่นมาก,100.468028,13.744295,,
ชุมชนวัดดงมูลเหล็ก,หนาแน่นมาก,100.475664,13.752245,,
ชุมชนวัดพระยาทำ,หนาแน่นมาก,100.48225,13.748145,,
ชุมชนซอยบ้านช่างหล่อ,หนาแน่นมาก,100.481486,13.754778,,
ชุมชนเหนือวัดสีหไกรสร,หนาแน่นมาก,100.479709,13.755203,,
ชุมชนสันติสุข,หนาแน่นมาก,100.479343,13.757733,,
ชุมชนตรอกวังหลัง,หนาแน่นมาก,100.484837,13.755255,,
ชุมชนวัดระฆัง,หนาแน่นมาก,100.484612,13.753103,,
ชุมชนวัดอมรทายิการาม,หนาแน่นมาก,100.47448,13.759502,,
ชุมชนตรอกข้าวเม่า,หนาแน่นมาก,100.47672,13.758495,,
ชุมชนซอยสุดสาคร,หนาแน่นปานกลาง,100.474207,13.756479,,
ชุมชนวัดยางสุทธาราม,หนาแน่นมาก,100.473897,13.75441,,
ชุมชนสายใต้เก่า,หนาแน่นมาก,100.471559,13.753263,,
ชุมชนวัดโพธิ์เรียง,หนาแน่นปานกลาง,100.472268,13.7446,,
ชุมชนวัดอัมพวา,หนาแน่นปานกลาง,100.476121,13.748998,,
ชุมชนวัดครุฑ,หนาแน่นปานกลาง,100.476836,13.745265,,
ชุมชนบุปผาสวรรค์,หนาแน่นปานกลาง,100.466533,13.749417,,
ชุมชนพรพิพัฒน์,หนาแน่นมาก,100.47164,13.757277,,
ชุมชนซอยจรัญสนิทวงศ์ 41,หนาแน่นปานกลาง,100.473356,13.769877,,
ชุมชนมัสยิดหลวงอันซอริซซุนนะห์,หนาแน่นมาก,100.485468,13.761967,,
ชุมชนวัดใหม่ยายแป้น,หนาแน่นปานกลาง,100.473655,13.765169,,
ชุมชนชวนชื่น,หนาแน่นปานกลาง,100.467862,13.769897,,
ชุมชนจรัญ 31 รวมใจ,หนาแน่นปานกลาง,100.465136,13.753828,,
ชุมชนหมู่บ้านพัฒนาหมู่7 แขวงฉิมพลี,หนาแน่นน้อย,100.412687,13.794116,,
ชุมชนสะพานผัก-คลองศาลเจ้า,หนาแน่นน้อย,100.44326,13.796257,,
ชุมชนริมทางรถไฟชัยพฤกษ์,หนาแน่นน้อย,100.458554,13.787166,,
ชุมชนวัดช่างเหล็ก-วัดเรไร,หนาแน่นมาก,100.454001,13.773008,,
ชุมชนริมคลองชักพระ,หนาแน่นปานกลาง,100.466048,13.780711,,
ชุมชนหลังวัดกาญจนสิงหาสน์,หนาแน่นน้อย,100.454202,13.76046,,
ชุมชนหลังวัดรัชฎาธิษฐาน,หนาแน่นน้อย,100.457661,13.755667,,
ชุมชนวัดชัยพฤกษมาลา,หนาแน่นปานกลาง,100.46725,13.794341,,
ชุมชนซอยพฤกษอุดม-วัดน้อยใน,หนาแน่นปานกลาง,100.465556,13.791351,,
ชุมชนวัดกระจัง,หนาแน่นน้อย,100.440754,13.77445,,
ชุมชนวัดมณฑป,หนาแน่นน้อย,100.448702,13.773585,,
ชุมชนหมู่บ้านพัฒนาหมู่ 13 แขวงบางระมาด,หนาแน่นน้อย,100.446033,13.770737,,
ชุมชนวัดจำปา,หนาแน่นน้อย,100.434611,13.773805,,
ชุมชนหมู่บ้านพัฒนาหมู่ 4 แขวงบางระมาด,หนาแน่นน้อย,100.427338,13.771119,,
ชุมชนวัดมะกอก,หนาแน่นน้อย,100.428762,13.775748,,
"ชุมชนหมู่บ้านพัฒนาวัดกาญจนสิงหาสน์ (18,19)",หนาแน่นน้อย,100.447351,13.758046,,
ชุมชนหมู่บ้านพัฒนาหมู่ 6 แขวงบางระมาด,หนาแน่นน้อย,100.431548,13.77505,,
"ชุมชนหมู่ 1,3 บางพรม",หนาแน่นปานกลาง,100.456616,13.744627,,
ชุมชนศาลเจ้าพ่อจุ้ย,หนาแน่นน้อย,100.455536,13.782044,,
ชุมชนศาลาหลังบ้าน,หนาแน่นน้อย,100.450135,13.757075,,
ชุมชนโรงเรียนวัดตลิ่งชัน,หนาแน่นปานกลาง,100.456927,13.780296,,
ชุมชนบ้านลุ่ม,หนาแน่นปานกลาง,100.458691,13.78181,,
ชุมชนหลังวัดปากน้ำฝั่งเหนือ,หนาแน่นมาก,100.460701,13.74665,,
ชุมชนวัดเพลงกลางสวน,หนาแน่นน้อย,100.440621,13.752915,,
ชุมชนวัดสมรโกฏิ-บางระจัน,หนาแน่นน้อย,100.44479,13.773813,,
ชุมชนวัดดาวคะนอง,หนาแน่นปานกลาง,100.48772,13.69625,,
ชุมชนมะนาวหวาน,หนาแน่นมาก,100.486059,13.698207,,
ชุมชนเจริญนคร 66,หนาแน่นมาก,100.486961,13.702331,,
ชุมชนตรอกสะพานยาว,หนาแน่นมาก,100.481366,13.699404,,
ชุมชนโกวบ๊อพัฒนา,หนาแน่นมาก,100.483551,13.704844,,
ชุมชนวัดบางน้ำชน,หนาแน่นปานกลาง,100.49131,13.703434,,
ชุมชนเกื้อวิทยา,หนาแน่นมาก,100.490543,13.708034,,
ชุมชนวัดราชวรินทร์,แออัด,100.492532,13.710769,,
ชุมชนสุทธาราม,แออัด,100.492191,13.713614,,
ชุมชนสนามแดง,แออัด,100.482507,13.71301,,
ชุมชนสองร้อยห้อง,หนาแน่นมาก,100.482406,13.715932,,
ชุมชนวัดบางสะแกใน,หนาแน่นปานกลาง,100.474646,13.711031,,
ชุมชนวัดใหม่ยายนุ้ย,หนาแน่นปานกลาง,100.46923,13.711415,,
ชุมชนสามัคคีธรรม,แออัด,100.472963,13.719124,,
ชุมชนวัดกันตทาราราม,แออัด,100.478029,13.720106,,
ชุมชนหลังศูนย์จันฉิมไพบูลย์,แออัด,100.481581,13.720943,,
ชุมชนโรงเจ 2,หนาแน่นมาก,100.481607,13.7188,,
ชุมชนสายสัมพันธ์,หนาแน่นมาก,100.48739,13.716642,,
ชุมชนวัดกัลยาณ์,หนาแน่นมาก,100.490257,13.739394,,
ชุมชนกุฎีขาว,หนาแน่นมาก,100.488862,13.738047,,
ชุมชนวัดบุปผาราม,แออัด,100.491452,13.735782,,
ชุมชนวัดประยูรวงศ์,หนาแน่นมาก,100.495926,13.737408,,
ชุมชนกุฎีจีน,หนาแน่นมาก,100.493637,13.739043,,
ชุมชนโรงคราม,แออัด,100.488141,13.736431,,
ชุมชนศรีภูมิ,หนาแน่นมาก,100.4863,13.728672,,
ชุมชนวัดใหญ่ศรีสุพรรณ,แออัด,100.488166,13.729554,,
ชุมชนสามัคคีศรีสุพรรณ,แออัด,100.489118,13.730441,,
ชุมชนมัสยิดบ้านสมเด็จ,แออัด,100.492029,13.730687,,
ชุมชนบางไส้ไก่บ้านสมเด็จ,แออัด,100.490041,13.731923,,
ชุมชนวัดประดิษฐาราม,หนาแน่นมาก,100.487655,13.734318,,
ชุมชนสี่แยกบ้านแขก,หนาแน่นมาก,100.493685,13.730578,,
ชุมชนประสานมิตร,แออัด,100.488973,13.728854,,
ชุมชนข้างสถานีรถไฟวงเวียนใหญ่,หนาแน่นมาก,100.486817,13.724751,,
ชุมชนวัดอินทาราม,หนาแน่นมาก,100.483559,13.723035,,
ชุมชนตรอกเทวดา,หนาแน่นมาก,100.490065,13.725112,,
ชุมชนสวนพลู,แออัด,100.487746,13.721985,,
ชุมชนตากสินสัมพันธ์,หนาแน่นมาก,100.488684,13.72059,,
ชุมชนพัฒนาบ้านล่าง,หนาแน่นมาก,100.48576,13.723517,,
ชุมชนหลังไปรษณีย์สำเหร่,แออัด,100.491728,13.715954,,
ชุมชนแซ่ซิ้มสวนบน,หนาแน่นมาก,100.486529,13.717497,,
ชุมชนซอยช่างนาค-สะพานยาว,หนาแน่นมาก,100.499702,13.733711,,
ชุมชนสวนสมเด็จย่า,หนาแน่นปานกลาง,100.497972,13.737012,,
ชุมชนซอยท่าดินแดง 14 และซอยท่าดินแดง 16,หนาแน่นปานกลาง,100.504763,13.735493,,
ชุมชนหลังโรงเรียนสารพัดช่างธนบุรี,หนาแน่นมาก,100.506473,13.734341,,
ชุมชนซอยแยกถนนเชียงใหม่,หนาแน่นปานกลาง,100.50761,13.73477,,
ชุมชนวัดทองธรรมชาติ,หนาแน่นมาก,100.50533,13.73287,,
ชุมชนชาวประชาท่าดินแดง,หนาแน่นมาก,100.502121,13.73064,,
ชุมชนหลังโรงเรียนกุลสิริเทคโนโลยี,หนาแน่นมาก,100.503601,13.731,,
ชุมชนหลังโรงพยาบาลสมเด็จเจ้าพระยา,หนาแน่นมาก,100.50421,13.72962,,
ชุมชนวัดทองนพคุณ,หนาแน่นมาก,100.507731,13.732352,,
